oblast_or_country;pcode;gid_1;# total population ;# female population ;# male population ;# female younger population (0 - 14 years);# male younger population (0 - 14 years);# total younger population (0 - 14 years);# female older population (60 years and up);# male older population (60 years and up);# total older population (60 years and up);# people displaced;# outgoing refugees since February 2022;# registered IDPs;# people moving back;# people exposed;# people affected;# people in need ;# people in level 1 humanitarian condition;# people in level 2 humanitarian condition;# people in level 3 humanitarian condition;# people in level 4 humanitarian condition;# people in level 5 humanitarian condition;# km² landmass affected;# km² controlled by Ukrainian authorities/forces;# km² controlled by Russian forces;# km² unconfirmed control;# battles;# explosions/remote violence;# violence against civilians;# fatalities;# civilian fatalities;# civilian injuries;# total infrastructure damage;# USD cost of damage;# total access events;# PIN food security and livelihoods;# PIN shelter and NFIs;# PIN CCCM;# PIN WASH;# PIN health;# PIN protection;# PIN child protection;# PIN gender-based violence;# PIN education;# PIN mine action;# PIN cash assistance;# USD GDP per capita;poverty rate;% inflation rate ;# unemployed people;Consumer price index;% variation in raw food prices;% variation in administered prices;% variation in fuel prices;# USD cost of reconstruction and recovery;# EUR currency value;# USD currency value;# USD in minimum wage;# USD in minimum pension;# USD in living wage;period
Chernihivska;UA74;UKR.2_1;897000;518447;432326;61356;64084;125440;174896;90800;265696;;;58332.0;193000.0;897000;513168.0;361071.0;466278.0;152097.0;386166.0;0;0;31895;31895;0;0;0;253;0;2;489.0;735.0;7;;7;;;;;;;;;;;;;;;4834.0;;;;;;;;;;;Apr2025
Chernivetska;UA73;UKR.3_1;728000;468777;418615;73482;78391;151873;116988;69688;186676;;;74883.0;14000.0;728000;149254.0;127824.0;524336.0;21430.07347;173752.0;0;0;8095;8095;0;0;0;0;0;0;0.0;0.0;0;;5;;;;;;;;;;;;;;;1807.0;;;;;;;;;;;Apr2025
Dnipropetrovska;UA12;UKR.5_1;3200000;1680750;1412426;226943;240091;467034;503014;265558;768572;;;381002.0;276000.0;3200000;2269407.0;1846204.0;1596472.0;423203.3005;750984.0;769968;0;31910;31910;0;0;1;119;0;31;157.0;530.0;214;;8;;;;;;;;;;;;;;;8033.0;;;;;;;;;;;Apr2025
Donetska;UA14;UKR.6_1;693000;2207252;1839235;204708;218811;423519;810872;465603;1276475;;;93464.0;;693000;538397.0;538397.0;367.0;0.0;0.0;440100;252533;26500;10689;15686;125;1027;415;0;2900;2167.0;3263.0;181;;52;;;;;;;;;;;;;;;5448.0;;;;;;;;;;;Apr2025
Ivano-Frankivska;UA26;UKR.7_1;1100000;711226;637870;108676;115708;224384;181690;108256;289946;;;111176.0;45000.0;1100000;370277.0;219500.0;801798.0;150777.4784;221056.0;0;0;13933;13933;0;0;0;0;0;0;0.0;0.0;0;;6;;;;;;;;;;;;;;;3012.0;;;;;;;;;;;Apr2025
Kharkivska;UA63;UKR.8_1;1800000;1384642;1198683;169358;180505;349863;412784;224680;637464;;;391154.0;608000.0;1800000;1639537.0;1543942.0;87900.0;95594.83792;1522609.0;92655;72649;31435;30395;986;54;192;198;0;184;1782.0;2607.0;156;;52;;;;;;;;;;;;;;;8123.0;;;;;;;;;;;Apr2025
Khersonska;UA65;UKR.9_1;298369;535440;464726;76623;81913;158536;153827;84911;238738;;;33412.0;;298369;141209.0;141209.0;0.0;0.0;0.0;32939;265430;26657;6701;18750;1206;43;511;0;1748;832.0;847.0;70;;57;;;;;;;;;;;;;;;2696.0;;;;;;;;;;;Apr2025
Khmelnytska;UA68;UKR.10_1;1100000;655503;570163;92902;97681;190583;193654;109045;302699;;;66064.0;31000.0;1100000;397817.0;268026.0;751516.0;129791.1442;289076.0;0;0;20628;20628;0;0;0;2;0;0;0.0;0.0;20;;1;;;;;;;;;;;;;;;3379.0;;;;;;;;;;;Apr2025
Kirovohradska;UA35;UKR.13_1;929000;483025;414272;63954;67838;131792;148637;82051;230688;;;82357.0;23000.0;929000;318966.0;251205.0;717692.0;67760.94226;177473.0;0;0;24578;24578;0;0;0;4;0;0;6.0;13.0;10;;3;;;;;;;;;;;;;;;4029.0;;;;;;;;;;;Apr2025
Kyiv;UA80;UKR.11_1;3500000;1568793;1342201;232566;248470;481036;401501;236765;638266;;;;942000.0;3500000;1544744.0;901205.0;1283963.0;643538.949;1803443.0;0;0;834;834;0;0;0;12;0;13;72.0;114.0;28;;2;;;;;;;;;;;;;;;1772.0;;;;;;;;;;;Apr2025
