"","hh_id","indv_id","age_hh_member","gender_hh_member","relations_hh_member","disablity_hh_member","hh_compos_hh_members_Education_E1_SS_ATT_EDU","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_distance_learning","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_waiting_for_resp","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_intention_to_move","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_errors_with_applicaiton","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_no_space","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_not_available","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_language_barrier","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_lack_sch_mat","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_lack_it_equip","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_lack_sch_meal","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_lack_sch_acc_dist","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_lack_incl_sch","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_lack_cert","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_lack_info_ser","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_donot_want_burden","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_donot_want_loose","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_DoNotKnow"
"40",1060239,1923635,"18","male","child","no_difficulty","no","distance_learning",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",1060239,1928433,"12-17","female","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",1060239,1487752,"5-11","male","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",1060677,1873263,"35-59","female","child","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1060677,1278105,"5-11","male","grandchild","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1060677,1819021,"5-11","female","grandchild","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",1063955,1774108,"35-59","female","parent","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",1063955,1708887,"35-59","male","other","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",1063955,1522816,"12-17","male","other","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",1063955,1425890,"5-11","female","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",1064960,1469380,"35-59","male","partner","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",1064960,1428175,"19-34","female","child","lot_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",1064960,1727018,"5-11","male","child","lot_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",1067181,1617658,"19-34","male","partner","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",1067181,1634453,"0-2","male","child",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",1067181,1863150,"60+","female","parent","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",1068505,1294715,"0-2","male","child",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",1068659,1981158,"35-59","male","partner","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",1068659,1822070,"12-17","female","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",1068659,1384888,"5-11","female","child","no_difficulty","no","distance_learning",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",1071696,1948553,"12-17","male","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",1071696,1850250,"5-11","male","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",1075711,1239906,"35-59","male","partner","some_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",1075983,1775340,"35-59","male","partner","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",1075983,1392713,"12-17","male","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",1075983,1470537,"5-11","female","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",1075983,1383706,"3-4","female","child",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",1080971,1528196,"5-11","male","grandchild","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",1080971,1252989,"5-11","male","grandchild","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",1080971,1145786,"19-34","female","child","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",1082354,1797512,"35-59","male","partner","some_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",1082354,1964870,"5-11","male","child","no_difficulty","no","distance_learning other",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",1082869,1600607,"19-34","male","partner","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",1082869,1533334,"0-2","male","child",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",1083323,1142595,"19-34","male","partner","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",1083323,1365646,"3-4","male","child",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",1084427,1888813,"19-34","male","partner","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",1084427,1733603,"3-4","male","child",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",1089925,1222896,"19-34","female","sibling","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",1092439,1709088,"19-34","male","partner","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",1092439,1890902,"5-11","female","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",1092750,1398932,"35-59","male","parent","some_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",1092750,1027583,"35-59","female","parent","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",1093864,1700807,"12-17","male","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",1093864,1937107,"0-2","female","child",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",1093864,1090611,"60+","female","parent","lot_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",1094182,1708624,"19-34","male","child","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",1094182,1460468,"12-17","male","child","no_difficulty","no","distance_learning",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",1094867,1418067,"19-34","male","partner","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",1101641,1506941,"35-59","female","parent","some_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",1101641,1203387,"12-17","female","sibling","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",1102594,1131643,"3-4","male","child",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",1102594,1898932,"19-34","male","partner","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",1107408,1437960,"60+","female","sibling","lot_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",1108437,1654842,"35-59","female","partner","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",1108437,1919123,"5-11","female","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",1108437,1957327,"5-11","female","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",1110402,1750628,"5-11","male","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",1111760,1443487,"35-59","male","partner","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",1111760,1957476,"12-17","female","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",1111760,1620602,"12-17","male","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",1113741,1948964,"35-59","male","partner","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",1113741,1283679,"3-4","female","child",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",1118212,1118114,"35-59","male","partner","some_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",1118212,1844734,"5-11","male","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",1120388,1307091,"19-34","female","partner","lot_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",1122731,1613723,"5-11","male","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",1122731,1813516,"19-34","female","partner","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",1125819,1946359,"5-11","male","child","some_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",1125819,1645589,"3-4","male","child",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",1125819,1957813,"35-59","female","parent","some_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",1127935,1554111,"60+","male","parent","some_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",1127935,1190497,"60+","female","parent","lot_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",1127935,1179968,"12-17","male","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",1128932,1925358,"60+","female","parent","some_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",1130577,1960811,"35-59","male","partner","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",1130577,1287688,"5-11","female","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",1132703,1221533,"12-17","female","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",1132703,1284363,"5-11","male","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",1134406,1979874,"5-11","male","sibling","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",1138250,1171001,"35-59","male","partner","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",1138250,1938644,"3-4","male","child",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",1139189,1119140,"5-11","male","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",1139189,1845442,"3-4","female","child",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",1140141,1660456,"19-34","male","partner","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",1140141,1732292,"5-11","male","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",1141384,1448625,"60+","male","partner","some_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",1141384,1344983,"35-59","female","child","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",1141384,1306156,"35-59","male","extended_fam","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",1141384,1764786,"12-17","female","grandchild","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",1141384,1776665,"0-2","male","grandchild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",1146264,1488667,"12-17","female","child","lot_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",1146264,1882897,"12-17","male","other","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",1148106,1925918,"35-59","female","partner","some_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",1148106,1694691,"12-17","male","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",1148106,1197797,"5-11","male","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",1148106,1201720,"5-11","female","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",1149991,1920261,"5-11","female","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",1150405,1288720,"19-34","female","partner","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",1154878,1267114,"19-34","male","sibling","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",1154878,1931567,"35-59","male","parent","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
